human_id,ST,host_source_raw,collection_year,country,country_base_label,country_harmonised,country_iso_alpha2,country_iso_alpha3,country_iso_numeric,country_harmonisation_status
SAMN20121917,ST15,Homo sapiens,2019,,,,,,,missing
SAMN20121918,ST15,Homo sapiens,2019,,,,,,,missing
SAMN36696473,ST307,Homo sapiens,2023,USA: Florida,USA,United States,US,USA,840,iso_3166_1
SAMN29503544,ST14,Homo sapiens,2020,Canada,Canada,Canada,CA,CAN,124,iso_3166_1
SAMN30953383,ST8298,Homo sapiens,2022,USA,USA,United States,US,USA,840,iso_3166_1
SAMN30953384,ST753,Homo sapiens,2022,USA,USA,United States,US,USA,840,iso_3166_1
SAMN20121904,ST15,Homo sapiens,2019,,,,,,,missing
SAMN20121907,ST16,Homo sapiens,2019,,,,,,,missing
SAMN20121908,ST147,Homo sapiens,2019,,,,,,,missing
SAMN20121911,ST147,Homo sapiens,2019,,,,,,,missing
SAMN27675121,ST16,Homo sapiens,2022,USA,USA,United States,US,USA,840,iso_3166_1
SAMN28580489,ST39,Homo sapiens,2019,Uganda,Uganda,Uganda,UG,UGA,800,iso_3166_1
SAMN30413815,ST25,Homo sapiens,2021,Ecuador: Quito,Ecuador,Ecuador,EC,ECU,218,iso_3166_1
SAMN30414055,ST983,Homo sapiens,2021,Ecuador: Quito,Ecuador,Ecuador,EC,ECU,218,iso_3166_1
SAMN31220954,ST7,Homo sapiens,2022,United Kingdom: United Kingdom,United Kingdom,United Kingdom,GB,GBR,826,iso_3166_1
SAMN31438823,ST20,Homo sapiens,2022,USA,USA,United States,US,USA,840,iso_3166_1
SAMN39259522,ST147,Homo sapiens,2023,USA,USA,United States,US,USA,840,iso_3166_1
SAMN39259524,ST147,Homo sapiens,2023,USA,USA,United States,US,USA,840,iso_3166_1
SAMN39259526,ST147,Homo sapiens,2023,USA,USA,United States,US,USA,840,iso_3166_1
SAMN39259529,ST45,Homo sapiens,2023,USA,USA,United States,US,USA,840,iso_3166_1
SAMN39782958,ST437,Homo sapiens,2022,India: Vellore,India,India,IN,IND,356,iso_3166_1
SAMD00497407,ST280,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497409,ST432,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497416,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497419,ST15,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497422,ST147,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497425,ST15,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497431,ST200,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497435,ST661,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497436,ST610,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497446,ST307,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497448,ST45,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497457,ST37,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497463,ST685,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497465,ST107,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497477,ST147,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497482,ST461,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497484,ST101,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497489,ST15,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497491,ST1537,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497494,ST584,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497505,ST628,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497506,ST469,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497509,ST273,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497517,ST17,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497543,ST309,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497547,ST20,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497551,ST29,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497554,ST29,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497561,ST290,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497563,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497566,ST896,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497567,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497574,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497576,ST45,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497580,ST45,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497588,ST45,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497589,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497591,ST29,Homo sapiens,2019,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497617,ST7173,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497637,ST307,Homo sapiens,2020,Japan:Hokkaido,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497645,ST39,Homo sapiens,2019,Japan:Aomori,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497647,ST218,Homo sapiens,2019,Japan:Aomori,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497659,ST4,Homo sapiens,2019,Japan:Aomori,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497660,ST12,Homo sapiens,2019,Japan:Aomori,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497682,ST7126,Homo sapiens,2019,Japan:Iwate,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497701,ST469,Homo sapiens,2020,Japan:Miyagi,Japan,Japan,JP,JPN,392,iso_3166_1
