human_id,ST,host_source_raw,collection_year,country
SAMN20121917,ST15,Homo sapiens,2019,
SAMN20121918,ST15,Homo sapiens,2019,
SAMN36696473,ST307,Homo sapiens,2023,USA: Florida
SAMN29503544,ST14,Homo sapiens,2020,Canada
SAMN30953383,ST8298,Homo sapiens,2022,USA
SAMN30953384,ST753,Homo sapiens,2022,USA
SAMN20121904,ST15,Homo sapiens,2019,
SAMN20121907,ST16,Homo sapiens,2019,
SAMN20121908,ST147,Homo sapiens,2019,
SAMN20121911,ST147,Homo sapiens,2019,
SAMN27675121,ST16,Homo sapiens,2022,USA
SAMN28580489,ST39,Homo sapiens,2019,Uganda
SAMN30413815,ST25,Homo sapiens,2021,Ecuador: Quito
SAMN30414055,ST983,Homo sapiens,2021,Ecuador: Quito
SAMN31220954,ST7,Homo sapiens,2022,United Kingdom: United Kingdom
SAMN31438823,ST20,Homo sapiens,2022,USA
SAMN39259522,ST147,Homo sapiens,2023,USA
SAMN39259524,ST147,Homo sapiens,2023,USA
SAMN39259526,ST147,Homo sapiens,2023,USA
SAMN39259529,ST45,Homo sapiens,2023,USA
SAMN39782958,ST437,Homo sapiens,2022,India: Vellore
SAMD00497407,ST280,Homo sapiens,2019,Japan:Hokkaido
SAMD00497409,ST432,Homo sapiens,2020,Japan:Hokkaido
SAMD00497416,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497419,ST15,Homo sapiens,2019,Japan:Hokkaido
SAMD00497422,ST147,Homo sapiens,2019,Japan:Hokkaido
SAMD00497425,ST15,Homo sapiens,2019,Japan:Hokkaido
SAMD00497431,ST200,Homo sapiens,2019,Japan:Hokkaido
SAMD00497435,ST661,Homo sapiens,2020,Japan:Hokkaido
SAMD00497436,ST610,Homo sapiens,2020,Japan:Hokkaido
SAMD00497446,ST307,Homo sapiens,2019,Japan:Hokkaido
SAMD00497448,ST45,Homo sapiens,2019,Japan:Hokkaido
SAMD00497457,ST37,Homo sapiens,2019,Japan:Hokkaido
SAMD00497463,ST685,Homo sapiens,2019,Japan:Hokkaido
SAMD00497465,ST107,Homo sapiens,2019,Japan:Hokkaido
SAMD00497477,ST147,Homo sapiens,2019,Japan:Hokkaido
SAMD00497482,ST461,Homo sapiens,2019,Japan:Hokkaido
SAMD00497484,ST101,Homo sapiens,2019,Japan:Hokkaido
SAMD00497489,ST15,Homo sapiens,2019,Japan:Hokkaido
SAMD00497491,ST1537,Homo sapiens,2019,Japan:Hokkaido
SAMD00497494,ST584,Homo sapiens,2020,Japan:Hokkaido
SAMD00497505,ST628,Homo sapiens,2019,Japan:Hokkaido
SAMD00497506,ST469,Homo sapiens,2020,Japan:Hokkaido
SAMD00497509,ST273,Homo sapiens,2020,Japan:Hokkaido
SAMD00497517,ST17,Homo sapiens,2020,Japan:Hokkaido
SAMD00497543,ST309,Homo sapiens,2019,Japan:Hokkaido
SAMD00497547,ST20,Homo sapiens,2020,Japan:Hokkaido
SAMD00497551,ST29,Homo sapiens,2020,Japan:Hokkaido
SAMD00497554,ST29,Homo sapiens,2020,Japan:Hokkaido
SAMD00497561,ST290,Homo sapiens,2020,Japan:Hokkaido
SAMD00497563,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497566,ST896,Homo sapiens,2019,Japan:Hokkaido
SAMD00497567,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497574,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497576,ST45,Homo sapiens,2019,Japan:Hokkaido
SAMD00497580,ST45,Homo sapiens,2019,Japan:Hokkaido
SAMD00497588,ST45,Homo sapiens,2019,Japan:Hokkaido
SAMD00497589,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497591,ST29,Homo sapiens,2019,Japan:Hokkaido
SAMD00497617,ST7173,Homo sapiens,2020,Japan:Hokkaido
SAMD00497637,ST307,Homo sapiens,2020,Japan:Hokkaido
SAMD00497645,ST39,Homo sapiens,2019,Japan:Aomori
SAMD00497647,ST218,Homo sapiens,2019,Japan:Aomori
SAMD00497659,ST4,Homo sapiens,2019,Japan:Aomori
SAMD00497660,ST12,Homo sapiens,2019,Japan:Aomori
SAMD00497682,ST7126,Homo sapiens,2019,Japan:Iwate
SAMD00497701,ST469,Homo sapiens,2020,Japan:Miyagi
SAMD00497703,ST469,Homo sapiens,2019,Japan:Miyagi
SAMD00497709,ST22,Homo sapiens,2019,Japan:Miyagi
SAMD00497718,ST723,Homo sapiens,2019,Japan:Miyagi
SAMD00497730,ST723,Homo sapiens,2019,Japan:Miyagi
SAMD00497732,ST280,Homo sapiens,2019,Japan:Miyagi
SAMD00497736,ST3393,Homo sapiens,2020,Japan:Miyagi
SAMD00497745,ST4007,Homo sapiens,2019,Japan:Akita
SAMD00497775,ST29,Homo sapiens,2019,Japan:Yamagata
SAMD00497787,ST45,Homo sapiens,2019,Japan:Yamagata
SAMD00497807,ST200,Homo sapiens,2019,Japan:Yamagata
SAMD00497809,ST2264,Homo sapiens,2019,Japan:Yamagata
SAMD00497828,ST219,Homo sapiens,2019,Japan:Yamagata
SAMD00497830,ST37,Homo sapiens,2019,Japan:Yamagata
SAMD00497832,ST317,Homo sapiens,2019,Japan:Yamagata
SAMD00497848,ST37,Homo sapiens,2020,Japan:Yamagata
